company,date_received,product,sub_product,issue,sub_issu,consumer_complaint_nar,company_pub_response,state,zip_code,tags,consumer_consent_provided,submitted_via,date_sent_to_com,com_response_to_consumer,timely_response,consumer_dis,complaint_id
"Hardesty Law Office, PLLC",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
"Harmon Law Offices, P.C.",25,25,25,25,7,11,8,25,22,8,15,25,25,25,25,9,25
"Harpeth Financial Services, LLC",180,180,148,180,22,106,164,180,152,27,164,180,180,180,180,57,180
"Harrington, anderson & deblasio",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"Harris & Harris, Ltd.",521,521,518,521,520,206,401,514,466,83,391,521,521,521,521,273,521
Harris Beach PLLC,3,3,3,3,3,0,2,3,3,0,2,3,3,3,3,3,3
"Hart West Financial, Inc",1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1
"Harvard Collections, LLC",314,314,310,314,311,114,33,314,286,41,207,314,314,314,314,192,314
"Harvest Credit Management VII, LLC",9,9,9,9,8,3,6,9,8,1,5,9,9,9,9,7,9
"Harvest Strategy Group, Inc.",4,4,4,4,4,2,3,4,3,1,2,4,4,4,4,1,4
Hatfield Portfolio Group LLC.,53,53,53,53,53,7,1,53,51,6,14,53,53,53,53,51,53
"Hauge Associates, Inc.",42,42,42,42,42,17,1,42,30,6,28,42,42,42,42,26,42
Hawaii Mortgage Experts,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1
Hawes Klein LLC,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1
Hawk Inc,5,5,5,5,0,1,2,5,4,1,4,5,5,5,5,2,5
"Hawthorn Recovery Services, Inc.",7,7,7,7,7,2,4,7,5,0,4,7,7,7,7,3,7
Hays Potter & Martin LLP,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
"Hayt Hayt & Landau, P.L. (FL)",48,48,47,48,47,18,17,48,43,11,36,48,48,48,48,27,48
Headwaters Financial Corp.,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1
"Health Services Asset Management, LLC.",25,25,24,25,25,6,4,25,25,4,17,25,25,25,25,20,25
"HealthCare Revenue Recovery, LLC",1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1
"Healthcare Collections-I, LLC",110,110,110,110,110,55,91,110,106,10,93,110,110,110,110,43,110
"Healthcare Financial Services, LLC",38,38,38,38,38,8,0,36,31,9,14,38,38,38,38,37,38
"Healthcare Management, LLC",30,30,29,30,30,8,20,29,23,3,21,30,30,30,30,18,30
"Healthcare Receivable Professionals, LLC",4,4,4,4,4,0,0,4,4,0,1,4,4,4,4,3,4
"Healthcare Receivables Group, Inc.",44,44,44,44,44,19,12,44,39,5,36,44,44,44,44,18,44
"Heavner, Beyers & Mihlar LLC",6,6,6,6,3,4,5,6,5,1,4,6,6,6,6,4,6
"Hellmuth & Johnson, PLLC",2,2,2,2,1,0,0,2,2,0,0,2,2,2,2,2,2
"Hello Digit, Inc",5,5,5,5,4,3,2,5,4,0,3,5,5,5,5,1,5
Helm Associates,11,11,11,11,5,6,2,11,10,0,9,11,11,11,11,7,11
Helvetica Servicing Inc.,2,2,2,2,0,0,0,2,2,0,0,2,2,2,2,2,2
Helvey & Associates,145,145,143,145,145,70,125,144,122,23,127,145,145,145,145,44,145
"Henley, Lotterhos & Henley, PLLC",9,9,8,9,7,2,1,9,8,2,3,9,9,9,9,8,9
Henry Andrew Schmidt III,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1
"Herbert P. Sears Co., Inc.",126,126,126,126,125,42,82,126,125,21,94,126,126,126,126,67,126
"Heritage Finance Company, Inc.",2,2,2,2,2,1,2,2,1,0,2,2,2,2,2,0,2
"Heritage Financial Group, Inc.",24,24,24,24,19,13,7,24,19,0,23,24,24,24,24,6,24
"Heritage Pacific Financial, LLC",2,2,2,2,1,0,0,2,2,1,0,2,2,2,2,2,2
"Hertzmark, Crean & Lahey, LLP.",1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1
Hewitt-Capital,49,49,45,49,42,28,27,48,39,3,33,49,49,49,49,19,49
"Hexagon Collection Services, LLC",1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1
"Hiday & Ricke, P.A.",34,34,34,34,34,17,12,33,26,8,24,34,34,34,34,19,34
"Hidden Oak Group, Inc.",6,6,6,6,6,3,2,6,6,1,4,6,6,6,6,3,6
High Performance Capital,5,5,5,5,4,2,4,5,5,0,3,5,5,5,5,1,5
High Point Asset Inc,141,141,121,141,121,87,3,140,123,25,130,141,141,141,141,141,141
"Higher Education Servicing Corporation, Inc.",8,8,8,8,8,3,7,8,8,3,7,8,8,8,8,1,8
Higher Level Processing,14,14,14,14,10,5,3,11,11,1,9,14,14,14,14,0,14
Highland Capital,14,14,14,14,13,8,0,14,12,2,13,14,14,14,14,14,14
Hileman & Associates PC,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1
Hillcrest Davidson & Assoc,241,241,240,241,240,91,15,237,221,50,146,241,241,241,241,157,241
"HireRight Solutions, Inc.",127,127,63,127,123,37,20,124,117,12,84,127,127,127,127,69,127
Hirshberg Acceptance Corporation,12,12,12,12,12,8,12,12,10,0,11,12,12,12,12,7,12
"Hodosh, Lyon & Hammer, PC",11,11,11,11,11,3,5,10,10,3,5,11,11,11,11,8,11
"Hogan Capital II, LLC",2,2,2,2,2,0,0,2,2,0,0,2,2,2,2,0,2
Holiday Finance Corporation,2,2,2,2,1,1,1,2,2,0,2,2,2,2,2,0,2
Hollis Cobb Associates,84,84,83,84,83,32,22,82,76,12,50,84,84,84,84,57,84
Holloway Credit Solutions,109,109,108,109,108,45,37,108,91,22,81,109,109,109,109,59,109
"Holst & Boettcher, LLP",4,4,4,4,4,4,1,4,4,0,4,4,4,4,4,1,4
Home Credit Corp. Inc.,8,8,8,8,7,5,1,8,6,0,6,8,8,8,8,0,8
"Home Loan Center, Inc.",178,178,173,178,54,99,0,172,145,35,128,178,178,178,178,65,178
Home Loans Inc,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1
Home Mortgage Alliance Corp. (HMAC),8,8,8,8,1,3,0,6,5,1,4,8,8,8,8,3,8
Home Point Financial Corporation,330,330,329,330,33,158,37,323,276,52,255,330,330,330,330,34,330
Home Servicing LLC,32,32,32,32,3,4,0,31,31,1,12,32,32,32,32,25,32
"HomeKey Lending, LLC",1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1
HomePlus Corporation,3,3,3,3,0,1,3,3,3,2,3,3,3,3,3,0,3
HomeQuest Mortgage Corporation,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1
HomeServices of Iowa,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1
"HomeTown Lenders, LLC",13,13,13,13,1,3,3,13,12,2,5,13,13,13,13,9,13
"HomeTown Lending Partners, LLC",1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1
"Homefront Mortgages, Inc",2,2,2,2,0,0,2,2,2,1,2,2,2,2,2,1,2
Homelife International Mortgage Co. Inc.,2,2,2,2,0,0,0,2,2,0,2,2,2,2,2,1,2
Homes By Hunt LLC,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1
Homespire Mortgage Corp,3,3,3,3,0,1,0,2,2,0,1,3,3,3,3,0,3
"Hometown Mortgage Services, Inc.",2,2,2,2,0,0,0,2,1,0,1,2,2,2,2,2,2
"Homie Technology, Inc",1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,1
"Hood & Stacy, P.A.",10,10,10,10,10,5,8,10,8,1,8,10,10,10,10,4,10
"Hopkins Financial Services, Inc.",1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1
"Horizon Debt Group, LLC",5,5,5,5,3,2,0,5,4,0,2,5,5,5,5,3,5
"Horizon Financial Group, Inc.",1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1
Horizon Financial Management,14,14,13,14,14,3,5,14,14,0,11,14,14,14,14,11,14
"Horizon Lending services, LLC",1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1
"Hospital Services, Inc.",4,4,4,4,4,4,2,4,1,0,4,4,4,4,4,0,4
"Hosto & Buchan, PLLC",17,17,17,17,17,7,4,17,16,0,8,17,17,17,17,14,17
House of Finance Corp.,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1
"Houser & Allison, APC",7,7,7,7,2,1,0,7,7,0,1,7,7,7,7,6,7
Houston Finance Co.,7,7,7,7,3,6,5,7,7,0,7,7,7,7,7,3,7
"Houston Home Loan, Inc.",1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1
Howard Howe Attorney at Law,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1
"Howard L. Stomel, A Professional Corporation    AKA  Law Offices of  Howard L. Stomel",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
"Howell & Vail, LLP",4,4,4,4,4,0,2,4,4,1,2,4,4,4,4,4,4
Hughes Acceptance Corporation,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1
Hunt & Henriques,145,145,143,145,143,56,28,141,136,20,88,145,145,145,145,79,145
"Hunt & Kahn, P.A.",10,10,10,10,9,3,5,9,9,0,6,10,10,10,10,7,10
"Hunt Leibert Jacobson, P.C.",4,4,4,4,0,2,0,4,2,0,2,4,4,4,4,4,4
"Hunter Warfield, Inc.",1890,1890,1879,1890,1888,882,1255,1874,1712,304,1425,1890,1890,1890,1890,859,1890
"Huntington Debt Holding, LLC",2,2,2,2,2,1,1,2,1,1,1,2,2,2,2,0,2
"Hylan Asset Management, LLC",1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
Hyperion Recovery LLC,8,8,8,8,7,1,0,8,8,0,1,8,8,8,8,7,8
Hypotec Inc.,6,6,6,6,0,4,0,6,6,5,6,6,6,6,6,0,6
"I-NET, INC.",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
"I. C. Unlimited, Inc.",1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
"I.C. System, Inc.",3357,3357,3328,3357,3352,1366,2519,3315,3016,476,2498,3357,3357,3357,3357,1483,3357
"I.Q. DATA INTERNATIONAL, INC.",1405,1405,1392,1405,1402,651,1196,1383,1296,173,1087,1405,1405,1405,1405,617,1405
IBERIABANK,239,239,224,239,77,59,157,230,209,36,88,239,239,239,239,132,239
ICQ Search and Recovery Inc.,11,11,11,11,11,1,3,11,11,2,5,11,11,11,11,6,11
ICUL Service Corporation,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1
"ID Analytics, Inc.",710,710,677,710,652,392,474,703,583,120,573,710,710,710,710,36,710
"IJLfinancial, Inc.",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"IMC Capital, LLC",46,46,3,46,3,18,4,45,39,7,31,46,46,46,46,43,46
"IMMEDIATE RECOVERY GROUP, INC",17,17,16,17,15,8,0,15,12,2,10,17,17,17,17,11,17
"IMPAC MORTGAGE HOLDINGS, INC.",120,120,120,120,3,51,49,120,111,18,84,120,120,120,120,65,120
"IMPERIAL CREDIT SYSTEMS, INC.",9,9,9,9,8,3,0,9,8,2,4,9,9,9,9,8,9
INCOMM HOLDINGS INC.,132,132,131,132,54,69,1,130,109,16,109,132,132,132,132,64,132
"INDEPENDENT BANK GROUP, INC.",1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1
INDEPENDENT SAVINGS PLAN CO,3,3,3,3,3,3,3,3,1,2,3,3,3,3,3,0,3
"INDUSTRIAL AND COMMERCIAL BANK OF CHINA (USA), NATIONAL ASSOCIATION",8,8,8,8,7,3,1,8,8,1,4,8,8,8,8,0,8
"INGRAHAM & ASSOCIATES, P.A.",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"INTEGRA SERVICING, LLC",1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1
"INTEGRAL RECOVERIES, INC.",16,16,16,16,16,6,0,16,14,1,9,16,16,16,16,11,16
INTEGRITY FIRST FINANCIAL GROUP,7,7,7,7,0,5,1,7,5,3,7,7,7,7,7,5,7
"INTERCOASTAL MORTGAGE, LLC",3,3,3,3,0,2,3,3,3,3,3,3,3,3,3,0,3
INTERCONTINENTAL CAPITAL GROUP,22,22,22,22,4,9,9,22,20,2,20,22,22,22,22,7,22
INTERFIRST LENDING CORPORATION,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1
INTERFIRST MORTGAGE COMPANY,21,21,21,21,0,4,2,20,19,0,5,21,21,21,21,20,21
"INTERIM CAPITAL GROUP, INC.",2,2,2,2,2,0,0,2,2,0,0,2,2,2,2,0,2
"INTERLINC MORTGAGE SERVICES, LLC",12,12,12,12,0,4,7,12,11,6,6,12,12,12,12,6,12
INTERNATIONAL CITY MORTGAGE,17,17,17,17,1,8,10,17,15,3,9,17,17,17,17,17,17
INVESTORS BANK,140,140,139,140,42,29,57,137,123,13,49,140,140,140,140,78,140
IOWA STUDENT LOAN LIQUIDITY CORPORATION,93,93,93,93,78,32,48,92,78,8,54,93,93,93,93,64,93
IPAC'S Inc.,3,3,3,3,3,1,1,3,3,2,2,3,3,3,3,2,3
"ISCC, LLC",1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1
ISIS SECURITY INFORMATION SYSTEMS INC.,19,19,19,19,19,6,3,18,16,4,15,19,19,19,19,6,19
ISLAND FINANCE PUERTO RICO,9,9,9,9,7,5,9,9,9,1,8,9,9,9,9,0,9
IT'S TIME - CREDIT REPAIR LLC,2,2,2,2,1,2,1,2,2,0,2,2,2,2,2,1,2
"ITALBANK INTERNATIONAL, INC.",2,2,2,2,0,0,0,0,0,0,2,2,2,2,2,0,2
IVAN BROWN,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1
"Icon Equities, LLC",5,5,5,5,5,1,2,5,4,1,1,5,5,5,5,5,5
Iconic Mortgage Corporation,2,2,2,2,0,2,1,2,2,2,2,2,2,2,2,0,2
Idaho Housing and Finance Association,32,32,32,32,1,12,21,32,30,7,22,32,32,32,32,10,32
"Ideal Collection Services, Inc.",108,108,106,108,108,60,100,107,94,9,90,108,108,108,108,37,108
Ideal Direct Solutions,2,2,2,2,2,0,0,2,2,1,0,2,2,2,2,2,2
"Ideal Lending Solutions, Inc.",1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1
"Ignite Revenue, Inc.",6,6,6,6,6,4,0,6,5,4,5,6,6,6,6,1,6
"Ikon Financial Group, LLC",3,3,3,3,0,2,0,3,3,0,2,3,3,3,3,3,3
"Illinois Collection Service, Inc.",39,39,39,39,39,14,3,39,38,4,25,39,39,39,39,22,39
Illinois Lending Corporation,6,6,6,6,3,1,1,4,4,0,3,6,6,6,6,2,6
"Imagine Home Lending, LLC",2,2,2,2,0,1,2,2,2,0,2,2,2,2,2,0,2
Immediate Credit Recovery,169,169,169,169,167,77,7,164,150,21,105,169,169,169,169,73,169
Improved Data Services LLC,10,10,10,10,9,7,7,10,9,3,9,10,10,10,10,0,10
"Independent Dealers' Advantage, LLC",8,8,8,8,8,5,2,8,7,2,5,8,8,8,8,0,8
Independent Finance Company LLC,2,2,2,2,2,2,1,2,0,1,2,2,2,2,2,0,2
"Independent Recovery Resources, Inc.",47,47,47,47,47,12,15,45,40,5,30,47,47,47,47,32,47
Infinity Capital Group,6,6,6,6,4,4,2,6,6,3,5,6,6,6,6,2,6
Infinity Holding Corporation,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1
Informative Research,51,51,43,51,49,18,5,51,47,9,45,51,51,51,51,9,51
"Ingo Money, Inc.",19,19,19,19,4,10,6,19,16,2,14,19,19,19,19,9,19
"Inheritance Funding Company, Inc.",1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1
"Injury Case Funding Services, L.L.C.",1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
"Inlanta Mortgage, Inc.",1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1
"Innovate Managed Holdings, LLC",43,43,43,43,36,29,7,43,36,6,38,43,43,43,43,7,43
"Innovative Collections, LLC",17,17,17,17,17,8,0,17,16,2,11,17,17,17,17,13,17
Innovative Credit Solutions,13,13,13,13,13,9,1,13,12,3,12,13,13,13,13,11,13
"Innovative Debt Recovery, Inc.",4,4,4,4,4,1,0,4,4,1,2,4,4,4,4,2,4
Innovative Debt Solutions,4,4,4,4,4,1,0,4,4,1,1,4,4,4,4,4,4
"Innovative Funding Services, L.L.C.",9,9,9,9,9,6,5,9,7,2,8,9,9,9,9,0,9
"Innovative Mortgage Services, Inc.",1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1
Innovative Strategic Solutions LLC,2,2,2,2,2,1,0,2,1,1,1,2,2,2,2,1,2
Innovis,1013,1013,823,1013,963,349,0,998,921,112,743,1013,1013,1013,1013,205,1013
Insight Capital LLC (NV),21,21,15,21,15,7,0,21,19,4,8,21,21,21,21,19,21
Insight Financial Services LLC,2,2,2,2,0,2,2,2,1,0,2,2,2,2,2,1,2
"Insight Management Partners, LLC",9,9,9,9,9,3,0,9,7,0,5,9,9,9,9,0,9
"Insikt, Inc.",14,14,14,14,9,9,3,14,12,2,10,14,14,14,14,2,14
Insta Financial,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1
"Insta-Credit Auto Mart, Inc. dba InstaCredit Automart",3,3,3,3,3,2,3,3,2,0,3,3,3,3,3,0,3
Instant Cash Advance Corp.,3,3,2,3,1,0,1,3,3,1,1,3,3,3,3,3,3
"Instant Cash Flow, Inc.",1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1
Instarem PTE Limited,2,2,2,2,0,1,1,2,2,0,2,2,2,2,2,0,2
Integra Holdings Inc.,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1
Integras Capital Recovery LLC,2,2,2,2,2,2,0,2,2,0,2,2,2,2,2,1,2
Integrated Asset Recovery LLC,13,13,13,13,13,6,1,13,12,1,8,13,13,13,13,1,13
Integrated Mediation Solutions LLC,4,4,4,4,4,4,2,4,1,1,4,4,4,4,4,0,4
Integrated Recovery Services,203,203,197,203,190,112,18,200,175,24,162,203,203,203,203,149,203
"Integrity Asset Partners, Ltd.",10,10,9,10,8,4,9,10,8,2,7,10,10,10,10,10,10
Integrity Financial Corp. DBA US Loan Servicing,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1
Integrity First Lending LLC,4,4,4,4,0,2,3,4,3,1,3,4,4,4,4,4,4
"Integrity Funding Ohio, LLC",21,21,20,21,4,13,0,21,17,7,15,21,21,21,21,2,21
Integrity Group Inc,5,5,5,5,4,3,1,5,5,1,5,5,5,5,5,4,5
"Integrity Home Mortgage and Finance, Inc.",1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1
"Integrity Solution Services, Inc.",166,166,163,166,158,19,37,165,160,30,35,166,166,166,166,161,166
"Intelligent Business Solutions, LLC",1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1
"Inter-Cambio Express, Inc.",5,5,5,5,0,3,4,4,3,0,3,5,5,5,5,1,5
Intercounty Mortgage Network Corp.,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1
Interest Smart Home Loans,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
"Intermex Wire Transfer, LLC",14,14,14,14,0,3,5,11,11,2,5,14,14,14,14,7,14
"Internal Check Systems, LLC",21,21,21,21,21,12,0,20,16,3,17,21,21,21,21,12,21
International Collection Corporation,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1
"International Collection Systems, Inc.",2,2,2,2,2,2,1,2,2,0,2,2,2,2,2,1,2
"International Computer Systems, Inc.",97,97,97,97,97,35,2,97,87,15,64,97,97,97,97,50,97
"International Credit Corporation, Inc.",1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1
"International Debt Buying Consultants, LLC",2,2,2,2,2,1,1,2,2,0,2,2,2,2,2,0,2
International Financial Management,2,2,2,2,0,2,0,2,2,0,2,2,2,2,2,0,2
"International Mortgage & Finance Group, Inc.",1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1
"International Recovery Associates, Inc.",4,4,4,4,4,0,1,4,4,0,2,4,4,4,4,0,4
"Interstate Credit & Collection, Inc.",12,12,12,12,12,2,1,11,10,1,7,12,12,12,12,7,12
"Interstate Credit Control, Inc.",2,2,2,2,2,1,1,2,2,0,2,2,2,2,2,1,2
"Interstate Recovery Service, Inc.",42,42,41,42,40,12,9,39,35,14,17,42,42,42,42,17,42
InvestiNet LLC,3,3,3,3,3,0,0,3,3,2,3,3,3,3,3,0,3
Investigation & Recovery Assoc. LLC,3,3,3,3,3,1,0,3,2,1,1,3,3,3,3,2,3
"Investigative Concepts, Inc.",6,6,6,6,6,4,0,6,6,0,5,6,6,6,6,0,6
Investment Evolution Corporation,2,2,2,2,0,2,1,2,2,0,2,2,2,2,2,1,2
"Investment Management Company, LLC",2,2,2,2,0,0,0,2,2,0,1,2,2,2,2,2,2
"Investment Retrievers, Inc.",79,79,76,79,75,29,0,79,72,11,63,79,79,79,79,44,79
"Invicta Mortgage Group, Inc.",1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1
"Io, Inc.",214,214,213,214,214,94,32,213,192,36,170,214,214,214,214,89,214
Iron Capital Group,5,5,5,5,3,4,1,5,4,2,4,5,5,5,5,0,5
"Irongate Home Finance, LLC",1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1
Isla Repossesions & Collection Inc,2,2,2,2,2,0,0,2,2,0,0,2,2,2,2,1,2
"Island Title Services, Inc.",2,2,2,2,0,1,1,2,1,0,1,2,2,2,2,2,2
Ivy Street Development Corp.,13,13,12,13,13,3,0,13,11,1,8,13,13,13,13,12,13
"J & B Endeavors, LLC",3,3,3,3,2,2,2,3,1,0,3,3,3,3,3,1,3
"J & C Auto Sales of Collier County, LLC",1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1
"J & K Financial Services, LLC",1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1
"J J Marshall & Associates, Inc",48,48,48,48,46,28,44,48,39,4,45,48,48,48,48,18,48
J Martinez Investments LLC,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1
J Northland Group,8,8,8,8,8,4,0,7,6,1,6,8,8,8,8,2,8
"J R Brothers Financial, Inc.(Closed)",14,14,14,14,14,2,1,14,13,1,5,14,14,14,14,14,14
"J&D Recovery, Inc.",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
"J&H Systems, LLC",1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1
J&J Financial Services LLC,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1
J&L Collection Services,29,29,29,29,29,16,15,28,28,2,24,29,29,29,29,13,29
J. B. Collections,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
J. Mark Heldenbrand PC,7,7,7,7,5,2,2,7,6,2,4,7,7,7,7,3,7
J. Scott Watson,5,5,5,5,5,2,1,5,5,1,3,5,5,5,5,3,5
"J.A. Cambece Law Office, P.C.",34,34,33,34,34,9,5,34,30,5,16,34,34,34,34,23,34
"J.S Resolution Group, Inc.",50,50,49,50,49,10,0,49,45,10,12,50,50,50,50,50,50
"JAMES A. MOUNGER, PLC",2,2,2,2,1,0,0,2,2,1,2,2,2,2,2,0,2
JAMES B. NUTTER & COMPANY,104,104,104,104,4,16,0,103,102,34,34,104,104,104,104,84,104
"JAMS-01, Inc",1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1
"JAN (LendUSA) Holdings, Inc.",8,8,8,8,2,3,1,7,6,1,7,8,8,8,8,0,8
JAYANDBEE INC /dba/ HOOSIER ACCOUNTS SERVICE,6,6,5,6,5,3,0,6,4,1,5,6,6,6,6,6,6
"JBS Finance, Inc.",2,2,2,2,1,1,1,2,2,0,2,2,2,2,2,2,2
"JDJ Investments, INC.",23,23,22,23,23,13,10,23,19,5,21,23,23,23,23,12,23
JET DIRECT FUNDING CORP.,3,3,3,3,0,3,3,3,2,0,3,3,3,3,3,1,3
JFK FINANCIAL INC.,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1
"JH Portfolio Debt Equities, LLC",839,839,825,839,823,355,579,831,737,148,614,839,839,839,839,426,839
"JKS Mortgage, LLC",1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1
JL Management LLC dba Advance Finance & Tax Service,3,3,3,3,2,1,3,3,2,2,3,3,3,3,3,0,3
JLB CORPORATION,4,4,4,4,0,2,1,4,3,0,3,4,4,4,4,1,4
JLM R.E. INVESTMENTS,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1
JLU Asset Management Group LTD,7,7,7,7,7,5,2,7,5,0,7,7,7,7,7,7,7
JMAC LENDING INCORPORATED,12,12,12,12,1,4,8,12,11,5,9,12,12,12,12,2,12
JMBM Investments And LRAR Investments,2,2,2,2,0,0,2,2,2,0,1,2,2,2,2,2,2
"JMD,LLC",35,35,33,35,34,19,0,34,33,6,28,35,35,35,35,23,35
"JMS Associates, Inc.",9,9,9,9,9,6,3,9,7,2,8,9,9,9,9,5,9
"JNR Adjustment Company, Inc",51,51,51,51,50,18,34,50,47,5,32,51,51,51,51,35,51
"JOHN GIBSON AUTO SALES, INC.",1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1
"JOHNSON MORTGAGE COMPANY, LLC",1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1
JOSEPH R. HARRISON CO. LPA,2,2,2,2,2,1,0,2,1,1,1,2,2,2,2,2,2
"JP Development, Inc.",2,2,2,2,2,1,2,2,2,0,2,2,2,2,2,1,2
"JP RECOVERY SERVICES, INC.",62,62,62,62,62,23,44,61,49,11,39,62,62,62,62,49,62
JPL Recovery LLC,3,3,3,3,2,2,3,3,3,0,3,3,3,3,3,1,3
JPL Recovery Solutions,65,65,65,65,63,45,12,62,56,4,60,65,65,65,65,0,65
JPMORGAN CHASE & CO.,64373,64373,53802,64373,20110,14885,3,63022,59628,8642,24782,64373,64373,64373,64373,42630,64373
JPay Inc.,87,87,87,87,2,5,77,86,83,2,7,87,87,87,87,75,87
"JSZ Financial Co., Inc.",7,7,7,7,7,2,5,7,5,2,6,7,7,7,7,0,7
"JTM Capital Management, LLC",67,67,67,67,66,41,52,61,48,8,58,67,67,67,67,9,67
JUMBO LOAN EXPERTS LLC,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1
Jackson Automotive Resources,5,5,5,5,4,4,2,5,4,1,4,5,5,5,5,2,5
"Jacob Law Group, PLLC",46,46,46,46,44,16,3,45,36,9,30,46,46,46,46,25,46
Jacobs Arbitration And Associates Inc.,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1
"Jacobs, Marsh LLC",18,18,18,18,18,4,1,18,18,3,12,18,18,18,18,17,18
"James E. Albertelli, P.A., a Florida professional association",20,20,20,20,12,6,14,20,17,2,9,20,20,20,20,9,20
"James W. Crocker, PC",1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1
Jana Ferrell & Associates LLC,18,18,17,18,18,11,6,18,16,1,13,18,18,18,18,8,18
"Jason A Craig, PC",19,19,19,19,18,8,16,19,18,2,12,19,19,19,19,11,19
"Jason Michael Katz, P.C.",4,4,4,4,4,1,1,4,3,0,1,4,4,4,4,3,4
"Javitch, Block & Rathbone LLC",96,96,96,96,95,33,71,95,84,13,58,96,96,96,96,58,96
Jefferson Title Corporation,6,6,6,6,4,1,0,6,6,4,5,6,6,6,6,1,6
"Jeffrey G. Lerman, P.C.",10,10,10,10,10,3,1,10,10,1,4,10,10,10,10,7,10
